eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
2.42788,0.01121,2.33,0.0235,2.13,0.10962
2.4224,0.01124,2.34,0.02252,2.14,0.10558
2.41693,0.01283,2.35,0.02145,2.15,0.10166
2.41147,0.01208,2.36,0.02065,2.16,0.09785
2.40603,0.01172,2.37,0.01948,2.17,0.09416
2.4006,0.01214,2.38,0.01827,2.18,0.09057
2.39518,0.01688,2.39,0.01753,2.19,0.08709
2.38978,0.01574,2.4,0.01688,2.2,0.08371
2.38439,0.0142,2.41,0.01582,2.21,0.08044
2.37902,0.01701,2.42,0.01486,2.22,0.07727
2.37365,0.01586,2.43,0.01438,2.23,0.0742
2.3683,0.01431,2.44,0.01362,2.24,0.07123
2.36297,0.01992,2.45,0.0129,2.25,0.06835
2.35765,0.01717,2.46,0.01242,2.26,0.06557
2.35234,0.01762,2.47,0.01167,2.27,0.06288
2.34704,0.02448,2.48,0.01096,2.28,0.06028
2.34176,0.02052,2.49,0.01047,2.29,0.05777
2.33648,0.02138,2.5,0.00996,2.3,0.05534
2.33123,0.02143,2.51,0.00941,2.31,0.053
2.32598,0.01946,2.52,0.00883,2.32,0.05074
2.32075,0.02235,2.53,0.00845,2.33,0.04856
2.31553,0.02363,2.54,0.00797,2.34,0.04646
2.31032,0.02205,2.55,0.00763,2.35,0.04443
2.30513,0.02538,2.56,0.00708,2.36,0.04248
2.29995,0.0279,2.57,0.00668,2.37,0.0406
2.29478,0.03003,2.58,0.00639,2.38,0.03879
2.28963,0.03134,2.59,0.00609,2.39,0.03705
2.28448,0.02604,2.6,0.00567,2.4,0.03538
2.27935,0.02445,2.61,0.00533,2.41,0.03376
2.27424,0.03074,2.62,0.0051,2.42,0.03222
2.26913,0.03206,2.63,0.00479,2.43,0.03073
2.26404,0.03047,2.64,0.00449,2.44,0.0293
2.25896,0.03096,2.65,0.00423,2.45,0.02793
2.25389,0.03104,2.66,0.00403,2.46,0.02661
2.24883,0.03532,2.67,0.00383,2.47,0.02535
2.24379,0.03667,2.68,0.00357,2.48,0.02414
2.23876,0.03591,2.69,0.00338,2.49,0.02297
2.23374,0.04278,2.7,0.00318,2.5,0.02186
2.22873,0.03779,2.71,0.00301,2.51,0.0208
2.22373,0.03575,2.72,0.0028,2.52,0.01978
2.21875,0.04266,2.73,0.00263,2.53,0.0188
2.21378,0.04576,2.74,0.0025,2.54,0.01786
2.20882,0.03901,2.75,0.00236,2.55,0.01697
2.20387,0.0404,2.76,0.00223,2.56,0.01612
2.19894,0.04523,2.77,0.00208,2.57,0.0153
